day_number,minute_of_day,abs_interval,source_link,source_state,n_downstream,n_validated,validation_rate,downstream_json
1,545,109,30,Saturated,10,10,1.0,"[{""link_id"": 31, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 16, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 36, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,560,112,30,Saturated,10,10,1.0,"[{""link_id"": 31, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 16, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 36, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,575,115,30,Saturated,10,10,1.0,"[{""link_id"": 31, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 16, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 36, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,540,108,31,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 36, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 20, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 20, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,555,111,31,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 36, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 20, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 20, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,490,98,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,500,100,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,530,106,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Saturated"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
1,1150,230,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
2,550,398,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
2,590,406,36,Saturated,10,7,0.7,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
4,510,966,36,Saturated,10,8,0.8,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
6,520,1544,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
6,590,1558,36,Saturated,10,7,0.7,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}]"
8,545,2125,36,Saturated,10,9,0.9,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
8,575,2131,36,Saturated,10,9,0.9,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Healthy"", ""validated"": false}]"
9,540,2412,36,Saturated,10,10,1.0,"[{""link_id"": 16, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 30, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 44, ""lag_minutes"": 5, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 31, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 38, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 40, ""lag_minutes"": 10, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 49, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 53, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 34, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}, {""link_id"": 50, ""lag_minutes"": 15, ""predicted_state"": ""Stressed"", ""actual_state"": ""Stressed"", ""validated"": true}]"
